url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,127,75
/PetervanLunteren/AddaxAI/tree/main,33,22
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,32,24
/PetervanLunteren/AddaxAI/issues/80,31,4
/PetervanLunteren/addaxai,25,3
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,21,13
/PetervanLunteren/AddaxAI/issues,21,11
/PetervanLunteren/AddaxAI/tree/main/classification_utils,18,9
/PetervanLunteren/AddaxAI/issues/56,17,16
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,16,13
