time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-28 00:00:00+00:00,5.0,5.0,64,20
2025-05-29 00:00:00+00:00,22.0,6.0,56,23
2025-05-30 00:00:00+00:00,2.0,2.0,33,14
2025-05-31 00:00:00+00:00,3.0,3.0,12,8
2025-06-01 00:00:00+00:00,7.0,4.0,14,9
2025-06-02 00:00:00+00:00,4.0,3.0,14,11
2025-06-03 00:00:00+00:00,10.0,6.0,88,19
2025-06-04 00:00:00+00:00,50.0,21.0,85,18
2025-06-05 00:00:00+00:00,14.0,13.0,99,23
2025-06-06 00:00:00+00:00,4.0,3.0,41,16
2025-06-07 00:00:00+00:00,7.0,6.0,25,6
2025-06-08 00:00:00+00:00,6.0,3.0,31,11
2025-06-09 00:00:00+00:00,7.0,4.0,69,15
2025-06-10 00:00:00+00:00,,,26,15
