snapshot_date,release_tag,asset_name,download_count
2026-07-14,v7.0.1-beta.16,AddaxAI-amd64.deb,0
2026-07-14,v7.0.1-beta.16,AddaxAI-arm64.dmg,0
2026-07-14,v7.0.1-beta.16,AddaxAI-Setup.exe,7
2026-07-14,v7.0.1-beta.15,AddaxAI-amd64.deb,0
2026-07-14,v7.0.1-beta.15,AddaxAI-arm64.dmg,0
2026-07-14,v7.0.1-beta.15,AddaxAI-Setup.exe,1
2026-07-14,v7.0.1-beta.13,AddaxAI-amd64.deb,3
2026-07-14,v7.0.1-beta.13,AddaxAI-arm64.dmg,2
2026-07-14,v7.0.1-beta.13,AddaxAI-Setup.exe,12
2026-07-14,v7.0.1-beta.12,AddaxAI-amd64.deb,1
2026-07-14,v7.0.1-beta.12,AddaxAI-arm64.dmg,0
2026-07-14,v7.0.1-beta.12,AddaxAI-Setup.exe,2
2026-07-14,v7.0.1-beta.11,AddaxAI-amd64.deb,1
2026-07-14,v7.0.1-beta.11,AddaxAI-arm64.dmg,0
2026-07-14,v7.0.1-beta.11,AddaxAI-Setup.exe,1
2026-07-14,v7.0.1-beta.10,AddaxAI-amd64.deb,1
2026-07-14,v7.0.1-beta.10,AddaxAI-arm64.dmg,0
2026-07-14,v7.0.1-beta.10,AddaxAI-Setup.exe,0
2026-07-14,v7.0.1-beta.9,AddaxAI-arm64.dmg,0
2026-07-14,v7.0.1-beta.9,AddaxAI-Setup.exe,1
2026-07-14,v7.0.1-beta.9,AddaxAI-x86_64.AppImage,1
2026-07-14,v7.0.1-beta.8,AddaxAI-arm64.dmg,0
2026-07-14,v7.0.1-beta.8,AddaxAI-Setup.exe,2
2026-07-14,v7.0.1-beta.8,AddaxAI-x86_64.AppImage,0
2026-07-14,v7.0.1-beta.7,AddaxAI-arm64.dmg,0
2026-07-14,v7.0.1-beta.7,AddaxAI-Setup.exe,1
2026-07-14,v7.0.1-beta.7,AddaxAI-x86_64.AppImage,0
2026-07-14,v7.0.1-beta.6,AddaxAI-arm64.dmg,4
2026-07-14,v7.0.1-beta.6,AddaxAI-Setup.exe,15
2026-07-14,v7.0.1-beta.6,AddaxAI-x86_64.AppImage,0
2026-07-14,v7.0.1-beta.5,AddaxAI-arm64.dmg,1
2026-07-14,v7.0.1-beta.5,AddaxAI-Setup.exe,3
2026-07-14,v7.0.1-beta.5,AddaxAI-x86_64.AppImage,0
2026-07-14,v7.0.1-beta.4,AddaxAI-arm64.dmg,0
2026-07-14,v7.0.1-beta.4,AddaxAI-Setup.exe,2
2026-07-14,v7.0.1-beta.4,AddaxAI-x86_64.AppImage,0
2026-07-14,v7.0.1-beta.3,AddaxAI-arm64.dmg,5
2026-07-14,v7.0.1-beta.3,AddaxAI-Setup.exe,6
2026-07-14,v7.0.1-beta.3,AddaxAI-x86_64.AppImage,0
2026-07-14,v7.0.1-beta.2,AddaxAI-arm64.dmg,0
2026-07-14,v7.0.1-beta.2,AddaxAI-Setup.exe,1
2026-07-14,v7.0.1-beta.2,AddaxAI-x86_64.AppImage,0
2026-07-14,v7.0.1-beta.1,AddaxAI-arm64.dmg,0
2026-07-14,v7.0.1-beta.1,AddaxAI-Setup.exe,0
2026-07-14,v7.0.1-beta.1,AddaxAI-x86_64.AppImage,0
2026-07-14,v0.2.0-beta.7,AddaxAI-arm64.dmg,2
2026-07-14,v0.2.0-beta.7,AddaxAI-Setup.exe,2
2026-07-14,v0.2.0-beta.7,AddaxAI-x86_64.AppImage,2
2026-07-14,v0.2.0-beta.6,AddaxAI-arm64.dmg,5
2026-07-14,v0.2.0-beta.6,AddaxAI-Setup.exe,10
2026-07-14,v0.2.0-beta.6,AddaxAI-x86_64.AppImage,0
